['22/03/18', 'Back Yard Lights', '11:35:00', '31 days, 10:04:00']
['22/03/19', 'Back Yard Lights', '11:33:01', '31 days, 21:37:01']
['22/03/20', 'Back Yard Lights', '11:28:00', '32 days, 9:05:01']
['22/03/21', 'Back Yard Lights', '11:28:00', '32 days, 20:33:01']
['22/03/23', 'Back Yard Lights', '11:19:14', '33 days, 7:52:15']
['22/03/24', 'Back Yard Lights', '11:18:00', '33 days, 19:10:15']
['22/03/25', 'Back Yard Lights', '11:15:01', '34 days, 6:25:16']
['22/03/26', 'Back Yard Lights', '11:12:00', '34 days, 17:37:16']
['22/03/27', 'Back Yard Lights', '11:10:58', '35 days, 4:48:14']
['22/03/28', 'Back Yard Lights', '11:07:00', '35 days, 15:55:14']
['22/03/29', 'Back Yard Lights', '11:05:01', '36 days, 3:00:15']
['22/03/30', 'Back Yard Lights', '11:00:00', '36 days, 14:00:15']
['22/03/31', 'Back Yard Lights', '10:59:00', '37 days, 0:59:15']
['22/04/01', 'Back Yard Lights', '10:55:00', '37 days, 11:54:15']
['22/04/02', 'Back Yard Lights', '10:53:00', '37 days, 22:47:15']
['22/04/03', 'Back Yard Lights', '10:48:01', '38 days, 9:35:16']
['22/04/04', 'Back Yard Lights', '10:47:00', '38 days, 20:22:16']
['22/04/05', 'Back Yard Lights', '10:44:00', '39 days, 7:06:16']
['22/04/06', 'Back Yard Lights', '10:39:00', '39 days, 17:45:16']
['22/04/07', 'Back Yard Lights', '10:37:00', '40 days, 4:22:16']
['22/04/08', 'Back Yard Lights', '10:35:00', '40 days, 14:57:16']
['22/04/09', 'Back Yard Lights', '10:32:00', '41 days, 1:29:16']
['22/04/10', 'Back Yard Lights', '10:29:00', '41 days, 11:58:16']
['22/04/11', 'Back Yard Lights', '10:27:01', '41 days, 22:25:17']
['22/04/12', 'Back Yard Lights', '10:26:01', '42 days, 8:51:18']
['22/04/13', 'Back Yard Lights', '10:21:00', '42 days, 19:12:18']
['22/04/14', 'Back Yard Lights', '10:20:00', '43 days, 5:32:18']
['22/04/16', 'Back Yard Lights', '10:14:00', '43 days, 15:46:18']
['22/04/17', 'Back Yard Lights', '10:10:00', '44 days, 1:56:18']
['22/04/18', 'Back Yard Lights', '10:07:00', '44 days, 12:03:18']
['22/04/19', 'Back Yard Lights', '00:03:13', '44 days, 12:06:31']
['22/04/20', 'Back Yard Lights', '10:01:01', '44 days, 22:07:32']
['22/04/21', 'Back Yard Lights', '09:57:02', '45 days, 8:04:34']
['22/04/22', 'Back Yard Lights', '09:56:03', '45 days, 18:00:37']
['22/04/23', 'Back Yard Lights', '09:54:03', '46 days, 3:54:40']
['22/04/25', 'Back Yard Lights', '09:48:00', '46 days, 13:42:40']
['22/04/26', 'Back Yard Lights', '09:47:01', '46 days, 23:29:41']
['22/04/27', 'Back Yard Lights', '09:43:00', '47 days, 9:12:41']
['22/04/28', 'Back Yard Lights', '09:39:02', '47 days, 18:51:43']
['22/04/29', 'Back Yard Lights', '09:38:02', '48 days, 4:29:45']
['22/04/30', 'Back Yard Lights', '09:37:03', '48 days, 14:06:48']
['22/05/01', 'Back Yard Lights', '10:54:04', '49 days, 1:00:52']
['22/05/02', 'Back Yard Lights', '09:28:01', '49 days, 10:28:53']
['22/05/03', 'Back Yard Lights', '09:26:01', '49 days, 19:54:54']
['22/05/04', 'Back Yard Lights', '09:23:03', '50 days, 5:17:57']
['22/05/05', 'Back Yard Lights', '09:22:03', '50 days, 14:40:00']
['22/05/06', 'Back Yard Lights', '09:18:03', '50 days, 23:58:03']
