na,State,Name,Date
["xx",0,"Front Lights","22/01/20T09:28:13"]
["xx",0,"Back Yard Lights","22/01/20T09:28:13"]
["xx",0,"Front Lights","22/01/20T09:29:13"]
["xx",0,"Back Yard Lights","22/01/20T09:29:13"]
["xx",0,"Front Lights","22/01/20T09:30:13"]
["xx",0,"Back Yard Lights","22/01/20T09:30:13"]
["xx",0,"Front Lights","22/01/20T09:31:13"]
["xx",0,"Back Yard Lights","22/01/20T09:31:13"]
["xx",0,"Front Lights","22/01/20T09:32:13"]
["xx",0,"Back Yard Lights","22/01/20T09:32:13"]
["xx",0,"Front Lights","22/01/20T09:33:13"]
["xx",0,"Back Yard Lights","22/01/20T09:33:13"]
["xx",0,"Front Lights","22/01/20T09:34:13"]
["xx",0,"Back Yard Lights","22/01/20T09:34:13"]
["xx",0,"Front Lights","22/01/20T09:35:13"]
["xx",0,"Back Yard Lights","22/01/20T09:35:13"]
["xx",0,"Front Lights","22/01/20T09:36:13"]
["xx",0,"Back Yard Lights","22/01/20T09:36:13"]
["xx",0,"Front Lights","22/01/20T09:37:13"]
["xx",0,"Back Yard Lights","22/01/20T09:37:13"]
["xx",0,"Front Lights","22/01/20T09:38:13"]
["xx",0,"Back Yard Lights","22/01/20T09:38:13"]
["xx",0,"Front Lights","22/01/20T09:39:13"]
["xx",0,"Back Yard Lights","22/01/20T09:39:13"]
["xx",0,"Back Yard Lights","22/01/20T09:40:13"]
["xx",0,"Front Lights","22/01/20T09:40:13"]
["xx",0,"Back Yard Lights","22/01/20T09:41:13"]
["xx",0,"Front Lights","22/01/20T09:41:13"]
["xx",0,"Back Yard Lights","22/01/20T09:42:13"]
["xx",0,"Front Lights","22/01/20T09:42:13"]
["xx",0,"Back Yard Lights","22/01/20T09:43:13"]
["xx",0,"Front Lights","22/01/20T09:43:13"]
["xx",0,"Front Lights","22/01/20T09:44:13"]
["xx",0,"Back Yard Lights","22/01/20T09:44:13"]
["xx",0,"Front Lights","22/01/20T09:45:13"]
["xx",0,"Back Yard Lights","22/01/20T09:45:13"]
["xx",0,"Front Lights","22/01/20T09:46:13"]
["xx",0,"Back Yard Lights","22/01/20T09:46:13"]
["xx",0,"Back Yard Lights","22/01/20T09:47:13"]
["xx",0,"Front Lights","22/01/20T09:47:13"]
["xx",0,"Back Yard Lights","22/01/20T09:48:13"]
["xx",0,"Front Lights","22/01/20T09:48:13"]
["xx",0,"Back Yard Lights","22/01/20T09:49:13"]
["xx",0,"Front Lights","22/01/20T09:49:13"]
["xx",0,"Back Yard Lights","22/01/20T09:50:13"]
["xx",0,"Front Lights","22/01/20T09:50:13"]
["xx",0,"Front Lights","22/01/20T09:51:13"]
["xx",0,"Back Yard Lights","22/01/20T09:51:13"]
["xx",0,"Front Lights","22/01/20T09:52:13"]
["xx",0,"Back Yard Lights","22/01/20T09:52:13"]
["xx",0,"Front Lights","22/01/20T09:53:13"]
["xx",0,"Back Yard Lights","22/01/20T09:53:13"]
["xx",0,"Back Yard Lights","22/01/20T09:54:13"]
["xx",0,"Front Lights","22/01/20T09:54:13"]
["xx",0,"Back Yard Lights","22/01/20T09:55:13"]
["xx",0,"Front Lights","22/01/20T09:55:13"]
["xx",0,"Back Yard Lights","22/01/20T09:56:13"]
["xx",0,"Front Lights","22/01/20T09:56:13"]
["xx",0,"Front Lights","22/01/20T09:57:13"]
["xx",0,"Back Yard Lights","22/01/20T09:57:13"]
["xx",0,"Front Lights","22/01/20T09:58:13"]
["xx",0,"Back Yard Lights","22/01/20T09:58:13"]
["xx",0,"Front Lights","22/01/20T09:59:13"]
["xx",0,"Back Yard Lights","22/01/20T09:59:13"]
