Date,Name,State
["19/01/2022, 15:20:42","Back Yard Lights",1]
["19/01/2022, 15:20:57","Front Lights",0]
["19/01/2022, 15:20:57","Back Yard Lights",1]
["19/01/2022, 15:20:58","Back Yard Lights",1]
["19/01/2022, 15:21:12","Back Yard Lights",1]
["19/01/2022, 15:21:27","Back Yard Lights",1]
["19/01/2022, 15:21:42","Back Yard Lights",1]
["19/01/2022, 15:21:57","Front Lights",0]
["19/01/2022, 15:21:57","Back Yard Lights",1]
["19/01/2022, 15:21:58","Back Yard Lights",1]
["19/01/2022, 15:22:12","Back Yard Lights",1]
["19/01/2022, 15:22:27","Back Yard Lights",1]
["19/01/2022, 15:22:42","Back Yard Lights",1]
["19/01/2022, 15:22:57","Front Lights",0]
["19/01/2022, 15:22:57","Back Yard Lights",1]
["19/01/2022, 15:22:58","Back Yard Lights",1]
["19/01/2022, 15:23:12","Back Yard Lights",1]
["19/01/2022, 15:23:27","Back Yard Lights",1]
["19/01/2022, 15:23:42","Back Yard Lights",1]
["19/01/2022, 15:23:57","Front Lights",0]
["19/01/2022, 15:23:57","Back Yard Lights",1]
["19/01/2022, 15:23:58","Back Yard Lights",1]
["19/01/2022, 15:24:12","Back Yard Lights",1]
["19/01/2022, 15:24:27","Back Yard Lights",1]
["19/01/2022, 15:24:42","Back Yard Lights",1]
["19/01/2022, 15:24:57","Front Lights",0]
["19/01/2022, 15:24:57","Back Yard Lights",1]
["19/01/2022, 15:24:58","Back Yard Lights",1]
["19/01/2022, 15:25:12","Back Yard Lights",1]
["19/01/2022, 15:25:27","Back Yard Lights",1]
["19/01/2022, 15:25:42","Back Yard Lights",1]
["19/01/2022, 15:25:57","Front Lights",0]
["19/01/2022, 15:25:57","Back Yard Lights",1]
["19/01/2022, 15:25:58","Back Yard Lights",1]
["19/01/2022, 15:26:12","Back Yard Lights",1]
["19/01/2022, 15:26:27","Back Yard Lights",1]
["19/01/2022, 15:26:42","Back Yard Lights",1]
["19/01/2022, 15:26:57","Front Lights",0]
["19/01/2022, 15:26:57","Back Yard Lights",1]
["19/01/2022, 15:26:58","Back Yard Lights",1]
["19/01/2022, 15:27:12","Back Yard Lights",1]
["19/01/2022, 15:27:27","Back Yard Lights",1]
["19/01/2022, 15:27:42","Back Yard Lights",1]
["19/01/2022, 15:27:57","Front Lights",0]
["19/01/2022, 15:27:57","Back Yard Lights",1]
["19/01/2022, 15:27:58","Back Yard Lights",1]
["19/01/2022, 15:28:12","Back Yard Lights",1]
["19/01/2022, 15:28:27","Back Yard Lights",1]
["19/01/2022, 15:28:42","Back Yard Lights",1]
["19/01/2022, 15:28:57","Front Lights",0]
["19/01/2022, 15:28:57","Back Yard Lights",1]
["19/01/2022, 15:28:58","Back Yard Lights",1]
["19/01/2022, 15:29:12","Back Yard Lights",1]
["19/01/2022, 15:29:27","Back Yard Lights",1]
["19/01/2022, 15:29:42","Back Yard Lights",1]
["19/01/2022, 15:29:57","Front Lights",0]
["19/01/2022, 15:29:57","Back Yard Lights",1]
["19/01/2022, 15:29:57","Back Yard Lights",1]
["19/01/2022, 15:30:12","Back Yard Lights",1]
["19/01/2022, 15:30:27","Back Yard Lights",1]
["19/01/2022, 15:30:42","Back Yard Lights",1]
["19/01/2022, 15:30:57","Front Lights",0]
["19/01/2022, 15:30:57","Back Yard Lights",1]
["19/01/2022, 15:30:58","Back Yard Lights",1]
["19/01/2022, 15:31:12","Back Yard Lights",1]
["19/01/2022, 15:31:27","Back Yard Lights",1]
["19/01/2022, 15:31:42","Back Yard Lights",1]
["19/01/2022, 15:31:57","Front Lights",0]
["19/01/2022, 15:31:57","Back Yard Lights",1]
["19/01/2022, 15:31:58","Back Yard Lights",1]
["19/01/2022, 15:32:12","Back Yard Lights",1]
["19/01/2022, 15:32:27","Back Yard Lights",1]
["19/01/2022, 15:32:42","Back Yard Lights",1]
["19/01/2022, 15:32:57","Front Lights",0]
["19/01/2022, 15:32:57","Back Yard Lights",1]
["19/01/2022, 15:32:58","Back Yard Lights",1]
["19/01/2022, 15:33:12","Back Yard Lights",1]
["19/01/2022, 15:33:27","Back Yard Lights",1]
["19/01/2022, 15:33:42","Back Yard Lights",1]
["19/01/2022, 15:33:57","Front Lights",0]
["19/01/2022, 15:33:57","Back Yard Lights",1]
["19/01/2022, 15:33:58","Back Yard Lights",1]
["19/01/2022, 15:34:12","Back Yard Lights",1]
["19/01/2022, 15:34:27","Back Yard Lights",1]
["19/01/2022, 15:34:42","Back Yard Lights",1]
["19/01/2022, 15:34:57","Front Lights",0]
["19/01/2022, 15:34:57","Back Yard Lights",1]
["19/01/2022, 15:34:58","Back Yard Lights",1]
["19/01/2022, 15:35:12","Back Yard Lights",1]
["19/01/2022, 15:35:27","Back Yard Lights",1]
["19/01/2022, 15:35:42","Back Yard Lights",1]
["19/01/2022, 15:35:57","Front Lights",0]
["19/01/2022, 15:35:57","Back Yard Lights",1]
["19/01/2022, 15:35:58","Back Yard Lights",1]
["19/01/2022, 15:36:12","Back Yard Lights",1]
["19/01/2022, 15:36:27","Back Yard Lights",1]
["19/01/2022, 15:36:42","Back Yard Lights",1]
["19/01/2022, 15:36:57","Front Lights",0]
["19/01/2022, 15:36:57","Back Yard Lights",1]
["19/01/2022, 15:36:58","Back Yard Lights",1]
["19/01/2022, 15:37:12","Back Yard Lights",1]
["19/01/2022, 15:37:27","Back Yard Lights",1]
["19/01/2022, 15:37:42","Back Yard Lights",1]
["19/01/2022, 15:37:57","Front Lights",0]
["19/01/2022, 15:37:57","Back Yard Lights",1]
["19/01/2022, 15:37:58","Back Yard Lights",1]
["19/01/2022, 15:38:12","Back Yard Lights",1]
["19/01/2022, 15:38:27","Back Yard Lights",1]
["19/01/2022, 15:38:42","Back Yard Lights",1]
["19/01/2022, 15:38:57","Front Lights",0]
["19/01/2022, 15:38:57","Back Yard Lights",1]
["19/01/2022, 15:38:58","Back Yard Lights",1]
["19/01/2022, 15:39:12","Back Yard Lights",1]
["19/01/2022, 15:39:27","Back Yard Lights",1]
["19/01/2022, 15:39:42","Back Yard Lights",1]
["19/01/2022, 15:39:57","Front Lights",0]
["19/01/2022, 15:39:57","Back Yard Lights",1]
["19/01/2022, 15:39:58","Back Yard Lights",1]
["19/01/2022, 15:40:12","Back Yard Lights",1]
["19/01/2022, 15:40:27","Back Yard Lights",1]
["19/01/2022, 15:40:42","Back Yard Lights",1]
["19/01/2022, 15:40:57","Front Lights",0]
["19/01/2022, 15:40:57","Back Yard Lights",1]
["19/01/2022, 15:40:58","Back Yard Lights",1]
["19/01/2022, 15:41:12","Back Yard Lights",1]
["19/01/2022, 15:41:27","Back Yard Lights",1]
["19/01/2022, 15:41:42","Back Yard Lights",1]
["19/01/2022, 15:41:57","Front Lights",0]
["19/01/2022, 15:41:57","Back Yard Lights",1]
["19/01/2022, 15:41:58","Back Yard Lights",1]
["19/01/2022, 15:42:12","Back Yard Lights",1]
["19/01/2022, 15:42:27","Back Yard Lights",1]
